Experiment , Label , F1 , MCC , Precision , Recall , ROC   
MaxDB exp2 , portability , 0.228 , 0.182 , 0.520 , 0.146 , 0.553  
MaxDB exp2, efficiency , 0.217 , 0.125 , 0.237 , 0.200 , 0.558 
MaxDB exp2, reliability , 0.380 , 0.340 , 0.246 , 0.829 , 0.765  
MaxDB exp2, functionality , 0.095 , 0.083 , 0.250 , 0.059 , 0.521  
MaxDB exp2, maintainability , 0.092 , 0.123 , 0.571 , 0.050 , 0.520  
MaxDB exp2, usability , 0.175 , 0.138 , 0.113 , 0.389 , 0.620  
MaxDB exp2, total , 0.236 , 0.127 , 0.248 , 0.225 , 0.561  
MySQL exp2 , portability , 0.138 , 0.211 , 1.000 , 0.074 , 0.537  
MySQL exp2 , efficiency , 0.345 , 0.327 , 0.476 , 0.270 , 0.625  
MySQL exp2 , reliability , 0.425 , 0.287 , 0.348 , 0.545 , 0.669  
MySQL exp2 , functionality , 0.025 , 0.006 , 0.571 , 0.013 , 0.501  
MySQL exp2 , maintainability , 0.000 , 0.000 , 0.000 , 0.000 , 0.500  
MySQL exp2 , usability , 0.175 , 0.135 , 0.200 , 0.156 , 0.560  
MySQL exp2 , total , 0.167 , 0.095 , 0.403 , 0.105 , 0.527  
MaxDB exp3 , portability , 0.472 , 0.286 , 0.402 , 0.573 , 0.660  
MaxDB exp3, efficiency , 0.223 , 0.068 , 0.130 , 0.778 , 0.549  
MaxDB exp3, reliability , 0.257 , 0.196 , 0.149 , 0.927 , 0.652  
MaxDB exp3, functionality , 0.236 , 0.187 , 0.138 , 0.824 , 0.665  
MaxDB exp3, maintainability , 0.338 , 0.112 , 0.266 , 0.463 , 0.566  
MaxDB exp3, usability , 0.108 , 0.094 , 0.057 , 0.944 , 0.595  
MaxDB exp3, total , 0.258 , 0.093 , 0.160 , 0.671 , 0.568  
MySQL exp3 , portability , 0.413 , 0.170 , 0.564 , 0.325 , 0.574  
MySQL exp3, efficiency , 0.158 , 0.105 , 0.089 , 0.703 , 0.608  
MySQL exp3, reliability , 0.388 , 0.240 , 0.260 , 0.758 , 0.660  
MySQL exp3, functionality , 0.652 , 0.240 , 0.655 , 0.649 , 0.620  
MySQL exp3, maintainability , 0.203 , 0.007 , 0.240 , 0.175 , 0.503  
MySQL exp3, usability , 0.105 , 0.013 , 0.057 , 0.688 , 0.513  
MySQL exp3, total , 0.362 , 0.076 , 0.284 , 0.499 , 0.544 